MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.040188308,0.323333333,0.584158416,0.052631579,0.08,0.136363636,0.076263108,0.045454545,0.044855821,0.388,0.30399348,0.495322732,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,1,0.387755102,0.375378251,0,0,1,0,0,0,0,0,0,0.5,0.222222222,0.0282,0.1323,0.2754,0.206
0.149034759,0.206666667,0.831683168,0,0.04,0.272727273,0,0.170454545,0.098967604,0.16,0.458842706,0.692235734,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,1,0.795918367,0.088098977,0,0,0,0,1,0,0,0,0,0.5,0.444444444,0.2077,0.2068,0.206,0.2084
0.244637596,0.72,0.752475248,0.105263158,0.24,0.318181818,0.178265014,0.227272727,0.22748309,0,0.439282804,0.634705332,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,0.5,0.387755102,0.015321561,0,0,0,0,1,0,0,0,0,0.25,0.888888889,0.2336,0.4696,0.5743,0.6861
0.236118219,0.343333333,0.782178218,0.052631579,0.16,0.272727273,0.165109628,0.181818182,0.103239587,0.08,0.513447433,0.615996258,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.795918367,0.183858735,0,0,0,0,0,0,0,0,1,0.5,0.444444444,0.0424,0.0732,0.1025,0.1287
0.137775325,0.313333333,0.683168317,0.105263158,0.16,0.318181818,0.131744519,0.113636364,0.09255963,0.18,0.433577832,0.519176801,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0.5,0.183673469,0.375378251,0,0,0,0,0,0,0,0,1,0,0.888888889,0.2041,0.5095,0.6829,0.8623
0.104890689,0.463333333,0.544554455,0.052631579,0.12,0.045454545,0.100285987,0.102272727,0.1000356,0.52,0.33007335,0.63797942,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.183673469,0.038303903,0,0,0,0,1,0,0,0,0,0,0.888888889,0.7805,0.9722,0.9961,1
0.106405595,0.353333333,0.514851485,0.052631579,0.16,0.136363636,0.167969495,0.102272727,0.110715557,0.42,0.306438468,0.769878391,0.007003112,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.071428571,0.030643123,0,0,0,0,0,0,0,1,0,0.5,0.444444444,0.4705,0.9293,0.9973,1
0.218481063,0.846666667,1,0.105263158,0.08,0.045454545,0.097235462,0.352272727,0.261302955,0.06,0.572942135,0.521047708,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.234693878,0.107250929,0,1,0,0,0,0,0,1,0,0.5,0.888888889,0.3826,0.6184,0.8174,0.941
0.067801481,0.51,0.544554455,0.105263158,0.12,0.227272727,0.163584366,0.056818182,0.049839801,0.4,0.298288509,0.744153414,0.002334371,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.020408163,0.068947026,1,0,1,0,0,0,0,0,0,0.5,1,0.7772,0.8527,0.9037,0.9444
0.13557068,0.66,0.554455446,0.105263158,0.24,0.090909091,0.246901811,0.113636364,0.169811321,0.54,0.221678892,0.508419083,0.01300578,0.755498442,0,0.75,0.444444444,1,0.404715128,1,0.285714286,0.030643123,0,0,1,0,0,0,0,0,0,0,0.888888889,0.3453,0.4238,0.4858,0.5061
0.148948148,1,0.574257426,0.105263158,0.2,0.363636364,0.165109628,0.159090909,0.126735493,0.26,0.330888346,0.664172123,0.20042241,0.022376598,0.166666667,0.125,0.037037037,0.135597826,0.111329404,0.5,0.693877551,0.068947026,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.0955,0.6152,0.851,0.9437
0.29249413,0.371523333,0.920792079,0,0.2,0.590909091,0.136129647,0.295454545,0.23994304,0.3482,0.600651997,0.689429373,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.285714286,0.279618493,0,0,1,0,0,0,0,0,0,0.5,1,0.9248,0.9927,1,0.9973
0.186888506,0.26,0.544554455,0,0.16,0.090909091,0.151000953,0.181818182,0.23745105,0.16,0.288508557,0.070159027,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.15,0.145554832,1,0,1,0,0,0,0,0,0,0.25,1,0.0545,0.1707,0.2803,0.3639
0.159170613,0.34,0.594059406,0.052631579,0.24,0.136363636,0.152335558,0.147727273,0.151655393,0.24,0.361043195,0.818521983,0.080591374,0.24651646,0.166666667,0.375,0.111111111,0.391304348,0.283562541,1,0.234693878,0.183858735,0,0,0,0,0,1,0,0,0,0.5,0.444444444,0,0.0239,0.0479,0.0598
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0,0.071428571,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.0898,0.588,0.7228,0.749
0.142995608,0.081666667,0.772277228,0,0.12,0.318181818,0.087893232,0.136363636,0.109291563,0.08,0.43194784,0.070159027,0.01300578,0.755498442,0,0.75,0.444444444,1,0.404715128,0,0.183673469,0.758417283,0,1,1,0,0,0,0,0,0,0.25,0.888888889,0.3517,0.7093,0.7219,0.7317
